zooMS_ID,sample,sd,MDS.Model,sample_name,replicate,layer,Q2E,batch,plate,GA_q2e,spectra_name,file_agg
Bison/Yak,DC10428,0.22336039006914885,1.0910292017479573,DC10428,1,9.2,0.19,20,2,0.81,DC10428_1,Bison_Yak_1.mzML
Bison/Yak,DC10430,0.19449560133975918,0.6964168722050116,DC10430,1,11.2,0.856666666666666,20,2,0.14333333333333398,DC10430_1,Bison_Yak_1.mzML
Bison/Yak,DC10432,0.12688935501717558,0.8870026885953702,DC10432,1,11.2,0.843333333333333,20,2,0.15666666666666695,DC10432_1,Bison_Yak_1.mzML
Bison/Yak,DC10435,0.13461695335484306,1.021584511979757,DC10435,1,11.2,0.866666666666667,20,2,0.13333333333333297,DC10435_1,Bison_Yak_1.mzML
Bison/Yak,DC10437,0.12602439971458787,0.9269338882481817,DC10437,1,11.2,0.823333333333333,20,2,0.17666666666666697,DC10437_1,Bison_Yak_1.mzML
Bison/Yak,DC10438,0.14424195205055734,0.658731345732558,DC10438,1,11.2,0.856666666666666,20,2,0.14333333333333398,DC10438_1,Bison_Yak_1.mzML
Bison/Yak,DC10439,0.1591458748960191,0.9083914281934421,DC10439,1,11.2,0.826666666666667,20,2,0.173333333333333,DC10439_1,Bison_Yak_1.mzML
Bison/Yak,DC10442,0.11520903984474629,0.46568050902000374,DC10442,1,11.2,0.84,20,2,0.16000000000000003,DC10442_1,Bison_Yak_1.mzML
Bison/Yak,DC10448,0.10045680909281267,0.813681326384129,DC10448,1,11.2,0.823333333333333,20,3,0.17666666666666697,DC10448_1,Bison_Yak_1.mzML
Bison/Yak,DC10450,0.10148712469516612,0.9433985642297695,DC10450,1,11.2,0.696666666666667,20,3,0.303333333333333,DC10450_1,Bison_Yak_1.mzML
Bison/Yak,DC10453,0.09967258784793963,0.9075939869689301,DC10453,1,11.2,0.77,20,3,0.22999999999999998,DC10453_1,Bison_Yak_1.mzML
Bison/Yak,DC10454,0.08876188573980283,1.0609072610886487,DC10454,1,11.2,0.713333333333333,20,3,0.28666666666666696,DC10454_1,Bison_Yak_1.mzML
Bison/Yak,DC10458,0.10247564353276795,1.1267356033511013,DC10458,1,11.2,0.676666666666667,20,3,0.32333333333333303,DC10458_1,Bison_Yak_1.mzML
Bison/Yak,DC10459,0.1061665947901937,0.7807442702326315,DC10459,1,11.2,0.86,20,3,0.14,DC10459_1,Bison_Yak_1.mzML
Bison/Yak,DC10460,0.1073967956715184,0.6262616117446789,DC10460,1,11.2,0.903333333333333,20,3,0.09666666666666701,DC10460_1,Bison_Yak_1.mzML
Bison/Yak,DC10461,0.10899841951262072,0.7144844567573391,DC10461,1,11.2,0.886666666666667,20,3,0.11333333333333295,DC10461_1,Bison_Yak_1.mzML
Bison/Yak,DC10462,0.11192134477037353,0.6378766474803577,DC10462,1,11.2,0.906666666666667,20,3,0.09333333333333305,DC10462_1,Bison_Yak_1.mzML
Bison/Yak,DC10470,0.10880697295734928,0.9688154453883265,DC10470,1,11.2,0.743333333333333,20,3,0.25666666666666704,DC10470_1,Bison_Yak_1.mzML
Bison/Yak,DC10472,0.08967122559100263,1.0938088691555852,DC10472,1,11.2,0.65,20,3,0.35,DC10472_1,Bison_Yak_1.mzML
