sample_name,replicate,layer,Q2E,zooMS_ID,batch,plate
DC10403,3,9.2,0.38,Equidae,20,2
DC10406,1,9.2,0.16,Bison/Yak,20,2
DC10406,2,9.2,0.16,Bison/Yak,20,2
DC10406,3,9.2,0.16,Bison/Yak,20,2
DC10408,1,9.2,0.37,Bison/Yak,20,2
DC10408,2,9.2,0.37,Bison/Yak,20,2
DC10408,3,9.2,0.37,Bison/Yak,20,2
DC10412,1,9.2,0.933333333333333,Cervidae/Gazella/Saiga,20,2
DC10412,2,9.2,0.933333333333333,Cervidae/Gazella/Saiga,20,2
DC10412,3,9.2,0.933333333333333,Cervidae/Gazella/Saiga,20,2
DC10413,1,9.2,0.183333333333333,Bison/Yak,20,2
DC10413,2,9.2,0.183333333333333,Bison/Yak,20,2
DC10413,3,9.2,0.183333333333333,Bison/Yak,20,2
DC10419,1,9.2,0.296666666666667,Bison/Yak,20,2
DC10419,2,9.2,0.296666666666667,Bison/Yak,20,2
DC10419,3,9.2,0.296666666666667,Bison/Yak,20,2
DC10420,1,9.2,0.18,Equidae,20,2
DC10420,2,9.2,0.18,Equidae,20,2
DC10420,3,9.2,0.18,Equidae,20,2
DC10423,1,9.2,0.163333333333333,Bison/Yak,20,2
DC10423,2,9.2,0.163333333333333,Bison/Yak,20,2
DC10423,3,9.2,0.163333333333333,Bison/Yak,20,2
DC10425,1,9.2,0.24,Ovis/Capra,20,2
DC10425,2,9.2,0.24,Ovis/Capra,20,2
DC10425,3,9.2,0.24,Ovis/Capra,20,2
DC10426,1,9.2,0.22,Bison/Yak,20,2
DC10426,2,9.2,0.22,Bison/Yak,20,2
DC10426,3,9.2,0.22,Bison/Yak,20,2
DC10428,1,9.2,0.19,Bison/Yak,20,2
DC10428,2,9.2,0.19,Bison/Yak,20,2
DC10428,3,9.2,0.19,Bison/Yak,20,2
DC10429,1,11.2,0.85,Canidae,20,2
DC10429,2,11.2,0.85,Canidae,20,2
DC10429,3,11.2,0.85,Canidae,20,2
DC10430,1,11.2,0.856666666666666,Bison/Yak,20,2
DC10430,2,11.2,0.856666666666666,Bison/Yak,20,2
DC10430,3,11.2,0.856666666666666,Bison/Yak,20,2
DC10431,1,11.2,0.76,Cervidae/Gazella/Saiga,20,2
DC10431,2,11.2,0.76,Cervidae/Gazella/Saiga,20,2
DC10431,3,11.2,0.76,Cervidae/Gazella/Saiga,20,2
DC10432,1,11.2,0.843333333333333,Bison/Yak,20,2
DC10432,2,11.2,0.843333333333333,Bison/Yak,20,2
DC10432,3,11.2,0.843333333333333,Bison/Yak,20,2
DC10433,1,11.2,0.85,Equidae,20,2
DC10433,2,11.2,0.85,Equidae,20,2
DC10433,3,11.2,0.85,Equidae,20,2
DC10434,1,11.2,0.7,Crocuta/Panthera,20,2
DC10434,2,11.2,0.7,Crocuta/Panthera,20,2
DC10434,3,11.2,0.7,Crocuta/Panthera,20,2
DC10435,1,11.2,0.866666666666667,Bison/Yak,20,2
DC10435,2,11.2,0.866666666666667,Bison/Yak,20,2
DC10435,3,11.2,0.866666666666667,Bison/Yak,20,2
DC10436,1,11.2,0.793333333333333,Cervidae/Gazella/Saiga,20,2
DC10436,2,11.2,0.793333333333333,Cervidae/Gazella/Saiga,20,2
DC10436,3,11.2,0.793333333333333,Cervidae/Gazella/Saiga,20,2
DC10437,1,11.2,0.823333333333333,Bison/Yak,20,2
DC10437,2,11.2,0.823333333333333,Bison/Yak,20,2
DC10437,3,11.2,0.823333333333333,Bison/Yak,20,2
DC10438,1,11.2,0.856666666666666,Bison/Yak,20,2
DC10438,2,11.2,0.856666666666666,Bison/Yak,20,2
DC10438,3,11.2,0.856666666666666,Bison/Yak,20,2
DC10439,1,11.2,0.826666666666667,Bison/Yak,20,2
DC10439,2,11.2,0.826666666666667,Bison/Yak,20,2
DC10439,3,11.2,0.826666666666667,Bison/Yak,20,2
DC10441,1,11.2,0.73,Cervidae/Gazella/Saiga,20,2
DC10441,2,11.2,0.73,Cervidae/Gazella/Saiga,20,2
DC10441,3,11.2,0.73,Cervidae/Gazella/Saiga,20,2
DC10442,1,11.2,0.84,Bison/Yak,20,2
DC10442,2,11.2,0.84,Bison/Yak,20,2
DC10442,3,11.2,0.84,Bison/Yak,20,2
DC10443,1,11.2,0.776666666666667,Equidae,20,3
DC10443,2,11.2,0.776666666666667,Equidae,20,3
DC10443,3,11.2,0.776666666666667,Equidae,20,3
