zooMS_ID,sample,pep_number,q2e,gamma_0,gamma_1,gamma_2,residual,reliability,sd,MDS.Model
Bison/Yak,DC10460,pep2,0.13202407845056252,1.0018729269278301,0.15239057515108817,0,0.03462983297362353,0.9653701670263765,0.1073967956715184,0.6262616117446789
Bison/Yak,DC10460,pep4,0.42189653985971276,0.6994034540159694,0.5104205692587686,0,0.04338273220503747,0.9566172677949625,0.1073967956715184,0.6262616117446789
Bison/Yak,DC10460,pep7,0.41013601682939116,0.6580486648712575,0.4575452409206262,0,0.04038846032245163,0.9596115396775484,0.1073967956715184,0.6262616117446789
Bison/Yak,DC10461,pep1,0.30229327968535225,0.996612329429882,0.43179920855908205,0,0.030398723673220666,0.9696012763267793,0.10899841951262072,0.7144844567573391
Bison/Yak,DC10461,pep2,0.13754826752895466,1.001914290667049,0.15979047835976232,0,0.029452827174975202,0.9705471728250248,0.10899841951262072,0.7144844567573391
Bison/Yak,DC10461,pep4,0.49187954774142206,0.5938271233209242,0.5748468016930822,0,0.05247577906409848,0.9475242209359015,0.10899841951262072,0.7144844567573391
Bison/Yak,DC10461,pep7,0.3668528776730843,0.6844586467898403,0.3965833774940996,0,0.046357507450292525,0.9536424925497075,0.10899841951262072,0.7144844567573391
Bison/Yak,DC10462,pep1,0.30353316566854305,0.994932532992338,0.43361005360100674,0,0.04374211499243756,0.9562578850075625,0.11192134477037353,0.6378766474803577
Bison/Yak,DC10462,pep2,0.13110982310409025,1.0025104661542912,0.15127224748592596,0,0.03622283943322015,0.9637771605667799,0.11192134477037353,0.6378766474803577
Bison/Yak,DC10462,pep4,0.4421543029523355,0.667760934359481,0.5292742635340056,0,0.05248794957367087,0.9475120504263291,0.11192134477037353,0.6378766474803577
Bison/Yak,DC10462,pep7,0.4329030965092583,0.5898122101368741,0.4502432133830028,0,0.05119665693285568,0.9488033430671443,0.11192134477037353,0.6378766474803577
Bison/Yak,DC10470,pep1,0.4351643995719896,0.8229458700088814,0.6340194299567814,0,0.09070161730531034,0.9092983826946897,0.10880697295734928,0.9688154453883265
Bison/Yak,DC10470,pep2,0.2839307146074438,0.9654134949890576,0.38279891222208057,0,0.04535828801381015,0.9546417119861899,0.10880697295734928,0.9688154453883265
Bison/Yak,DC10470,pep3,0.4457717042359195,0.713715743711912,0.5740491523909765,0,0.14461141543970932,0.8553885845602907,0.10880697295734928,0.9688154453883265
