zooMS_ID,sample,pep_number,q2e,gamma_0,gamma_1,gamma_2,residual,reliability
Bison/Yak,DC10351,pep1,0.5435584870246277,0.6004266985495413,0.7150248576325052,0,0.053974815100844446,0.9460251848991555
Bison/Yak,DC10351,pep2,0.5701099390232407,0.4833899479253321,0.6410602122551914,0,0.07260304839972685,0.9273969516002731
Bison/Yak,DC10351,pep4,0.36018750030078606,0.8087663589510019,0.4553014098581662,0,0.022867730998229488,0.9771322690017705
Bison/Yak,DC10351,pep7,0.6463934710559627,0.33313936926861254,0.6089794605602793,0,0.09650465483520784,0.9034953451647921
Bison/Yak,DC10354,pep1,0.6874489809306332,0.3696571528911158,0.8130526459499977,0,0.037325930067471855,0.9626740699325281
Bison/Yak,DC10354,pep2,0.552271414315159,0.5358052928989342,0.6609136793314673,0,0.22239038026777083,0.7776096197322292
Bison/Yak,DC10354,pep4,0.8011039894508701,0.20278646402731657,0.8167737748505052,0,0.07016098003437321,0.9298390199656268
Bison/Yak,DC10355,pep1,0.5061372712538581,0.661631113372061,0.6780753978924414,0,0.053077607649139644,0.9469223923508604
Bison/Yak,DC10355,pep2,0.2245387561141211,1.004179745242671,0.290765364084355,0,0.03363033608531817,0.9663696639146818
Bison/Yak,DC10355,pep4,0.5778382632796667,0.47657225988223384,0.6523132321678083,0,0.05296812245079029,0.9470318775492097
Bison/Yak,DC10356,pep2,0.14189314856794022,1.0027839279271036,0.16581637663123694,0,0.03135904332871737,0.9686409566712826
Bison/Yak,DC10356,pep3,0.4776609186969121,0.6902658570913199,0.6312241133112436,0,0.18522681258131188,0.8147731874186881
Bison/Yak,DC10356,pep4,0.4380456246481099,0.6715266436574,0.5234576346247948,0,0.05682771704710256,0.9431722829528975
Bison/Yak,DC10358,pep1,0.6102347618467996,0.4712809936751627,0.737859657010371,0,0.2800321216921824,0.7199678783078176
Bison/Yak,DC10358,pep2,0.7820854057790811,0.22865267469299838,0.8206238802365602,0,0.09173919572007498,0.9082608042799251
Bison/Yak,DC10358,pep4,0.7535302236587288,0.2601921382783809,0.7954834992817765,0,0.06972654826199574,0.9302734517380042
Bison/Yak,DC10358,pep7,0.8461196531699555,0.14993445712596715,0.8244229589745081,0,0.2624558267974415,0.7375441732025585
Bison/Yak,DC10359,pep1,0.836028626711483,0.1774322036476463,0.9046603597624573,0,0.04534592796883727,0.9546540720311627
Bison/Yak,DC10359,pep2,0.8249859194975802,0.1828795859458893,0.8620625434010157,0,0.08929493025002269,0.9107050697499773
Bison/Yak,DC10359,pep4,0.7999317854195503,0.20780478577879055,0.8308648810374238,0,0.05660327807099706,0.9433967219290029
Bison/Yak,DC10360,pep2,0.5967318601435514,0.46613093590516713,0.6897524325927654,0,0.06858808830438305,0.931411911695617
Bison/Yak,DC10360,pep3,0.6510275847627259,0.424692467029307,0.7922875820686975,0,0.17689946018736671,0.8231005398126333
